t,free,n,σ,SIG
16,"(:S₀, :β, :α)",1000,10.0,2.233983876165127
17,"(:S₀, :β, :α)",1000,10.0,2.0987451628233287
18,"(:S₀, :β, :α)",1000,10.0,1.9413377934193576
19,"(:S₀, :β, :α)",1000,10.0,1.8009770200495991
20,"(:S₀, :β, :α)",1000,10.0,1.6595590727569052
21,"(:S₀, :β, :α)",1000,10.0,1.5205460788669776
22,"(:S₀, :β, :α)",1000,10.0,1.3690601810700347
23,"(:S₀, :β, :α)",1000,10.0,1.2220713484850823
24,"(:S₀, :β, :α)",1000,10.0,1.0615262249826591
25,"(:S₀, :β, :α)",1000,10.0,0.9171937462496638
26,"(:S₀, :β, :α)",1000,10.0,0.7750049886899961
27,"(:S₀, :β, :α)",1000,10.0,0.6587781990050866
28,"(:S₀, :β, :α)",1000,10.0,0.5672352344317327
29,"(:S₀, :β, :α)",1000,10.0,0.49286583218190244
30,"(:S₀, :β, :α)",1000,10.0,0.44088977325702383
1,"(:S₀, :β, :α)",1000,40.0,-4.652278562389256e-17
2,"(:S₀, :β, :α)",1000,40.0,0.011839375452301
3,"(:S₀, :β, :α)",1000,40.0,0.16826072067242662
4,"(:S₀, :β, :α)",1000,40.0,0.36596510196798726
5,"(:S₀, :β, :α)",1000,40.0,0.6786192351622126
6,"(:S₀, :β, :α)",1000,40.0,1.1210824442863814
7,"(:S₀, :β, :α)",1000,40.0,1.437712192162004
8,"(:S₀, :β, :α)",1000,40.0,1.339012075299775
9,"(:S₀, :β, :α)",1000,40.0,1.1759018899130527
10,"(:S₀, :β, :α)",1000,40.0,1.1704313379649833
11,"(:S₀, :β, :α)",1000,40.0,1.1862544850835566
12,"(:S₀, :β, :α)",1000,40.0,1.1790838260866738
13,"(:S₀, :β, :α)",1000,40.0,1.1118562128020186
14,"(:S₀, :β, :α)",1000,40.0,1.0012560390893481
15,"(:S₀, :β, :α)",1000,40.0,0.8911792830574297
16,"(:S₀, :β, :α)",1000,40.0,0.7639340365472468
17,"(:S₀, :β, :α)",1000,40.0,0.6353256273223691
18,"(:S₀, :β, :α)",1000,40.0,0.51551417722538
19,"(:S₀, :β, :α)",1000,40.0,0.41378547559002277
20,"(:S₀, :β, :α)",1000,40.0,0.3334483749016798
21,"(:S₀, :β, :α)",1000,40.0,0.27186252086661417
22,"(:S₀, :β, :α)",1000,40.0,0.22232245609088994
23,"(:S₀, :β, :α)",1000,40.0,0.19386843732856257
24,"(:S₀, :β, :α)",1000,40.0,0.1749652039202469
25,"(:S₀, :β, :α)",1000,40.0,0.15736632013871313
26,"(:S₀, :β, :α)",1000,40.0,0.1484007353227803
27,"(:S₀, :β, :α)",1000,40.0,0.13892133195644807
28,"(:S₀, :β, :α)",1000,40.0,0.13304567784894583
29,"(:S₀, :β, :α)",1000,40.0,0.1316226323307345
30,"(:S₀, :β, :α)",1000,40.0,0.12383578198298931
