θtrue,gitcommit,sig-α,sig-β,obs_model,known,obs_params,path,sig-S₀
"(S₀ = 0.6, β = 1.25, α = 0.2)",ef7d42de1afa371937a5a1e5ccbf8474b228788e,"Any[0.00012273150492789445, 0.00031411575790947873, 0.00027358422145129155, 0.00028326421846863216, 0.00014212108111179782, -0.00043039018893464354, 0.0006003869661346792, 0.00037522607997295105, 6.834448263793483e-5, 7.504196171605219e-5, 0.0007687254380079026, 0.001928801626445263, 0.0022902080329391047, 0.0020810748364091442, 0.002500620329317239]","Any[0.0006184089312583203, 0.0017541799154426486, 0.0030014456680488777, 0.002783645148050283, 0.0033313940939979935, 0.004191872214385639, 0.004447504997399847, 0.004065857364772952, 0.0049070820738009915, 0.004499851725879173, 0.005256425291828614, 0.0066032130127113954, 0.0054440976601347465, 0.0056615193606290555, 0.0049692192878356845]",neg_binom,Set([:S₀]),"(r = 1, n = 10)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:S₀]) || obs_model=neg_binom || obs_params=(r=1, n=10) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2",missing
"(S₀ = 0.6, β = 1.25, α = 0.2)",ef7d42de1afa371937a5a1e5ccbf8474b228788e,missing,"Any[0.0010485361452087928, 0.00254209755426812, 0.002527281810753494, 0.0032343790655746554, 0.004335845745769912, 0.004116644409265384, 0.004571931519068374, 0.003991183522013676, 0.004891764272607654, 0.0057465491317481516, 0.007071951324074928, 0.01070451700140439, 0.010640816629765975, 0.010695573257635715, 0.010232291712222102]",neg_binom,Set([:α]),"(r = 1, n = 1000)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:α]) || obs_model=neg_binom || obs_params=(r=1, n=1000) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[-0.0007335824635994508, 0.0005968358186737918, 0.0017774375788172693, 0.002716091875828122, 0.00298389346929341, 0.0036349276018291556, 0.004102455550497575, 0.004177016835112068, 0.0041737236087195095, 0.0038290907620415777, 0.004492427552523987, 0.004013239546009635, 0.004166085655145273, 0.004841667091470882, 0.005721584942400433]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",ef7d42de1afa371937a5a1e5ccbf8474b228788e,missing,"Any[0.0005569142670328114, 0.0023684439112349044, 0.0023411821942541915, 0.002923704482315324, 0.0039286465327923155, 0.004066054827200165, 0.004759707603876467, 0.0049687625937506275, 0.005888004156050059, 0.007007589862036958, 0.006276868456007266, 0.006427850725749274, 0.006723136902641355, 0.006524671815362276, 0.00652416949239327]",neg_binom,Set([:α]),"(r = 10, n = 10)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:α]) || obs_model=neg_binom || obs_params=(r=10, n=10) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[-0.00036447471750995704, -0.0010643499663612404, 0.00019141678798032658, 0.0020272408400223265, 0.002976075601911932, 0.003084936918794791, 0.003520328324938821, 0.004662506796626538, 0.0031604897476586722, 0.004517179047260967, 0.004272245438614855, 0.003984966526730163, 0.0049727258429298074, 0.004037685271500556, 0.004413499209358228]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",ef7d42de1afa371937a5a1e5ccbf8474b228788e,missing,"Any[0.0025600457908326827, 0.005244879876982565, 0.005738513155874733, 0.0058392791742189944, 0.006715391419716971, 0.007236813643190441, 0.009169042900994186, 0.01148016083912842, 0.012409357330504835, 0.013338304826937384, 0.016943082024156255, 0.015903353299474874, 0.015444118595830569, 0.014261971038901923, 0.01635019949349625]",neg_binom,Set([:α]),"(r = 10, n = 100)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:α]) || obs_model=neg_binom || obs_params=(r=10, n=100) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[-0.000709261312526631, -7.026221179314454e-5, 0.0003691259498451796, 0.001920752702179574, 0.004372036591401717, 0.005594900049258342, 0.008103749541511157, 0.009366530521585273, 0.00858309478509083, 0.010064523528674783, 0.010662578427255877, 0.010869433724750768, 0.008903156598730038, 0.009442802250502542, 0.009235332237100565]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",ef7d42de1afa371937a5a1e5ccbf8474b228788e,missing,"Any[0.0038687560669199332, 0.004672184589549314, 0.00451602584870216, 0.004904054734891045, 0.0058312428849213995, 0.009328760885986687, 0.010893455116725707, 0.013483622612859706, 0.01570632428043904, 0.018535514990143626, 0.020864294486174065, 0.02073415070810118, 0.020055217026364824, 0.021811793866211734, 0.02095335038332106]",neg_binom,Set([:α]),"(r = 10, n = 1000)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:α]) || obs_model=neg_binom || obs_params=(r=10, n=1000) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[-0.0002093358930615198, 0.0004029612129144667, 0.0005514999149375445, 0.002464277195654927, 0.0036207225151801124, 0.007349792825386839, 0.008437774030035199, 0.009244657539939374, 0.010910836637336494, 0.013368567894980204, 0.013284546968339932, 0.01363412569415024, 0.016305269451283914, 0.013544878851006392, 0.010567023188622618]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",e5e2befed309f0b8350bfdd28a7d5bd028b6c78f-dirty,missing,"Any[0.06437457723350923, 0.18865907181661626, 0.2520403505773153, 0.29931844541328834, 0.3730810375316339, 0.43857084332530233, 0.4875031757389107, 0.544658555174627, 0.5849936379883784, 0.6237946403655723, 0.645492222222872, 0.6707434846049753, 0.7132089104037832, 0.7082869186205292, 0.7219493848962318]",poisson,Set([:α]),"(n = 10,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:α]) || obs_model=poisson || obs_params=(n=10,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[-0.016470710130231957, -0.05753669276981533, 0.04648773996566944, 0.17510002849890485, 0.26568942636991016, 0.3244527175485711, 0.35384385545757596, 0.3809378955438632, 0.40381570076607287, 0.4066068972831995, 0.42457184593695196, 0.42248954461019583, 0.4214207598070559, 0.4333852943035537, 0.4397713305158766]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",e5e2befed309f0b8350bfdd28a7d5bd028b6c78f-dirty,missing,"Any[0.2620884177172881, 0.42082640125787746, 0.3717592676063738, 0.5180112222467458, 0.7948966607684774, 1.0911102614062833, 1.3619847473151199, 1.5720319820527346, 1.688486244009612, 1.7515727890414385, 1.8249956665616707, 1.8421878965084078, 1.885039519215065, 1.8881554466210928, 1.932871984710119]",poisson,Set([:α]),"(n = 100,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:α]) || obs_model=poisson || obs_params=(n=100,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[-0.09228624878761099, -0.018593948102644437, 0.015417060473938177, 0.24927478455877639, 0.5887142267428144, 0.919296436335255, 1.1562324126071482, 1.312640519991181, 1.3973677796714665, 1.4403355626013945, 1.4577942151353913, 1.4712452021754385, 1.4877971902920202, 1.4918470333620337, 1.4882831723003864]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",e5e2befed309f0b8350bfdd28a7d5bd028b6c78f-dirty,missing,"Any[0.4846300752497674, 0.3841349049616333, 0.44647536820831635, 1.0071148364952054, 1.8152045105111625, 2.39669322613582, 2.7053448218373752, 2.892055612333006, 2.9911216689593365, 3.0330977887695014, 3.088094562760073, 3.119888430094197, 3.1368108349854738, 3.1524630610080213, 3.1643787436850626]",poisson,Set([:α]),"(n = 1000,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:α]) || obs_model=poisson || obs_params=(n=1000,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[0.003938251293063919, -0.03628695046288738, 0.12639090796434238, 0.7468863351079043, 1.598696154764709, 2.2234416658434335, 2.490502217567544, 2.6085963321135126, 2.6653087091251084, 2.6822900519391397, 2.697854965026331, 2.694940155837269, 2.688045039129198, 2.712742136551359, 2.703775394844365]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",ef7d42de1afa371937a5a1e5ccbf8474b228788e,"Any[1.539120771690709e-5, -5.961963555714767e-5, -2.2893617331318266e-5, -6.354317891618178e-5, -6.360319803845119e-5, 2.583494205022833e-6, 2.2015125519176946e-5, 0.00016184223741628185, 0.00044085018441336696, 0.0007976602108251741, 0.0009892496559210668, 0.0007003285890095263, 0.002585709358659959, 0.0030869221309156587, 0.003335916363740723]",missing,neg_binom,Set([:β]),"(r = 1, n = 10)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:β]) || obs_model=neg_binom || obs_params=(r=1, n=10) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[-1.2779015380302757e-5, 0.00018265772515638575, 0.0005170611240309647, 0.0026623859309616105, 0.0036675242890537156, 0.003325851047696931, 0.0034192493497867296, 0.003445394993249004, 0.003824818767961524, 0.004274460362410419, 0.004042920104420016, 0.004478912442806663, 0.004567572079722772, 0.0046074570493061595, 0.00523486107511635]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",ef7d42de1afa371937a5a1e5ccbf8474b228788e,"Any[4.221900951819502e-5, 2.0054430761841326e-5, -7.209554106629772e-5, 7.030416097110667e-5, 9.820254423308346e-5, -3.734305726426316e-5, 0.0002439473530913648, 0.0009417621997470933, 0.001034294447182138, 0.0019757581168109843, 0.001832561503876185, 0.0033882605147925234, 0.004440082230024661, 0.005769333115038086, 0.005713338865410453]",missing,neg_binom,Set([:β]),"(r = 1, n = 100)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:β]) || obs_model=neg_binom || obs_params=(r=1, n=100) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[0.00013729069411635734, 0.0015141189367766342, 0.003884841830416802, 0.006301966022759924, 0.004937182137919317, 0.005509109092116252, 0.005379049145257858, 0.005669582881072431, 0.005335481382865808, 0.005569471416592527, 0.005172031143279464, 0.005734418280235566, 0.005698437739732651, 0.006496969705497429, 0.005616543456150751]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",ef7d42de1afa371937a5a1e5ccbf8474b228788e,"Any[-1.2048596694453907e-5, -2.7915130733380997e-6, -3.7771855983863124e-5, 7.218866975580932e-5, 0.00025787371281719225, 0.00021771320418425392, 0.00014919945690760212, 0.00022601909792423845, 0.0010046022805764328, 0.0020267430854815516, 0.0028555830011265074, 0.004770941292629761, 0.004700788597281037, 0.005819190157313183, 0.0073176041919455394]",missing,neg_binom,Set([:β]),"(r = 1, n = 1000)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:β]) || obs_model=neg_binom || obs_params=(r=1, n=1000) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[0.0002932377353285131, 0.0018641229438491232, 0.003921766222855146, 0.005420554608524842, 0.005695929923784715, 0.006007891934936332, 0.004622720099464587, 0.005616943793277, 0.008692474697265565, 0.0061015352213435224, 0.008814213295624372, 0.0076328110758908906, 0.006801882074902311, 0.006901528569237071, 0.006623333602496649]"
