α,β,S₀,lab,t,md
0.3,1.0,0.6,S₀,5,0.28717256
0.3,1.0,0.6,α,5,0.22006921
0.3,1.0,0.6,β,5,0.23518555
0.3,1.0,0.6,rep-number,5,0.46756127
0.3,1.0,0.6,peak-intensity,10,2.2155209
0.3,1.0,0.6,growth-rate,10,2.8876362
0.3,1.0,0.6,outbreak-size,10,1.4498887
0.3,1.0,0.6,S₀,10,0.28734386
0.3,1.0,0.6,α,10,0.5995172
0.3,1.0,0.6,β,10,0.4320517
0.3,1.0,0.6,rep-number,10,0.5877234
0.3,1.1,0.6,peak-intensity,3,1.4202759
0.3,1.1,0.6,growth-rate,3,1.9480664
0.3,1.1,0.6,outbreak-size,3,1.4982014
0.3,1.1,0.6,S₀,3,0.3118648
0.3,1.1,0.6,α,3,0.22489268
0.3,1.1,0.6,β,3,0.32613635
0.3,1.1,0.6,rep-number,3,0.52166176
0.3,1.1,0.6,peak-intensity,5,1.5667636
0.3,1.1,0.6,growth-rate,5,2.7872233
0.3,1.1,0.6,outbreak-size,5,1.6878335
0.3,1.1,0.6,S₀,5,0.2940733
0.3,1.1,0.6,α,5,0.2354196
0.3,1.1,0.6,β,5,0.3123394
0.3,1.1,0.6,rep-number,5,0.52297914
0.3,1.1,0.6,peak-intensity,10,2.730802
0.3,1.1,0.6,growth-rate,10,3.1070797
0.3,1.1,0.6,outbreak-size,10,1.531294
0.3,1.1,0.6,S₀,10,0.39952376
0.3,1.1,0.6,α,10,0.8976451
0.3,1.1,0.6,β,10,0.60416234
0.3,1.1,0.6,rep-number,10,0.79626256
0.3,1.2,0.6,peak-intensity,3,1.4804401
0.3,1.2,0.6,growth-rate,3,2.1303957
0.3,1.2,0.6,outbreak-size,3,1.5207739
0.3,1.2,0.6,S₀,3,0.32871446
0.3,1.2,0.6,α,3,0.23203494
0.3,1.2,0.6,β,3,0.42222142
0.3,1.2,0.6,rep-number,3,0.58856297
0.3,1.2,0.6,peak-intensity,5,1.6006494
0.3,1.2,0.6,growth-rate,5,2.9557269
0.3,1.2,0.6,outbreak-size,5,1.6180593
0.3,1.2,0.6,S₀,5,0.32270634
0.3,1.2,0.6,α,5,0.21342973
0.3,1.2,0.6,β,5,0.40503564
0.3,1.2,0.6,rep-number,5,0.58810633
0.3,1.2,0.6,peak-intensity,10,3.1065743
0.3,1.2,0.6,growth-rate,10,3.2479703
0.3,1.2,0.6,outbreak-size,10,1.5434473
0.3,1.2,0.6,S₀,10,0.48887643
0.3,1.2,0.6,α,10,0.949161
0.3,1.2,0.6,β,10,0.59131104
0.3,1.2,0.6,rep-number,10,0.8629131
0.3,1.3,0.6,peak-intensity,3,1.5358424
0.3,1.3,0.6,growth-rate,3,2.3297184
0.3,1.3,0.6,outbreak-size,3,1.4227183
0.3,1.3,0.6,S₀,3,0.3345145
0.3,1.3,0.6,α,3,0.25386775
0.3,1.3,0.6,β,3,0.5310096
0.3,1.3,0.6,rep-number,3,0.6703415
0.3,1.3,0.6,peak-intensity,5,1.6849349
0.3,1.3,0.6,growth-rate,5,3.1158297
0.3,1.3,0.6,outbreak-size,5,1.4087949
0.3,1.3,0.6,S₀,5,0.36183575
0.3,1.3,0.6,α,5,0.25252664
0.3,1.3,0.6,β,5,0.5430718
0.3,1.3,0.6,rep-number,5,0.6844015
0.3,1.3,0.6,peak-intensity,10,3.4646692
0.3,1.3,0.6,growth-rate,10,3.4018633
0.3,1.3,0.6,outbreak-size,10,1.6423028
0.3,1.3,0.6,S₀,10,0.6739476
0.3,1.3,0.6,α,10,1.0040482
0.3,1.3,0.6,β,10,0.61889195
0.3,1.3,0.6,rep-number,10,0.98400766
0.3,1.4,0.6,peak-intensity,3,1.5658194
0.3,1.4,0.6,growth-rate,3,2.5663767
0.3,1.4,0.6,outbreak-size,3,1.1866963
0.3,1.4,0.6,S₀,3,0.3034305
