α,β,S₀,lab,t,md
0.2,1.1,0.5,β,10,0.24743925
0.2,1.1,0.5,rep-number,10,0.8045565
0.2,1.1,0.7,peak-intensity,10,3.9450614
0.2,1.1,0.7,growth-rate,10,4.042214
0.2,1.1,0.7,outbreak-size,10,1.5170985
0.2,1.1,0.7,S₀,10,0.6672328
0.2,1.1,0.7,α,10,1.4133279
0.2,1.1,0.7,β,10,0.84362143
0.2,1.1,0.7,rep-number,10,1.1965998
0.2,1.1,0.9,peak-intensity,10,4.570701
0.2,1.1,0.9,growth-rate,10,4.4580145
0.2,1.1,0.9,outbreak-size,10,2.36366
0.2,1.1,0.9,S₀,10,1.0822439
0.2,1.1,0.9,α,10,1.9111058
0.2,1.1,0.9,β,10,1.344238
0.2,1.1,0.9,rep-number,10,1.6665062
0.2,1.3,0.1,peak-intensity,10,-1.1433065
0.2,1.3,0.1,growth-rate,10,2.3102562
0.2,1.3,0.1,outbreak-size,10,0.2714864
0.2,1.3,0.1,S₀,10,0.1557585
0.2,1.3,0.1,α,10,0.20493637
0.2,1.3,0.1,β,10,-0.34123924
0.2,1.3,0.1,rep-number,10,-1.637293
0.2,1.3,0.3,peak-intensity,10,1.9821824
0.2,1.3,0.3,growth-rate,10,2.7218168
0.2,1.3,0.3,outbreak-size,10,1.0173624
0.2,1.3,0.3,S₀,10,-0.11342688
0.2,1.3,0.3,α,10,0.33198157
0.2,1.3,0.3,β,10,-0.15486228
0.2,1.3,0.3,rep-number,10,0.27127892
0.2,1.3,0.5,peak-intensity,10,3.1450553
0.2,1.3,0.5,growth-rate,10,3.3154845
0.2,1.3,0.5,outbreak-size,10,1.3867273
0.2,1.3,0.5,S₀,10,0.51690614
0.2,1.3,0.5,α,10,0.8701786
0.2,1.3,0.5,β,10,0.30246276
0.2,1.3,0.5,rep-number,10,1.0036123
0.2,1.3,0.7,peak-intensity,10,4.24672
0.2,1.3,0.7,growth-rate,10,4.20548
0.2,1.3,0.7,outbreak-size,10,1.7244251
0.2,1.3,0.7,S₀,10,0.86870545
0.2,1.3,0.7,α,10,1.6029836
0.2,1.3,0.7,β,10,0.85335845
0.2,1.3,0.7,rep-number,10,1.6244321
0.2,1.3,0.9,peak-intensity,10,4.6995673
0.2,1.3,0.9,growth-rate,10,5.019413
0.2,1.3,0.9,outbreak-size,10,2.5866358
0.2,1.3,0.9,S₀,10,1.2982259
0.2,1.3,0.9,α,10,2.3177104
0.2,1.3,0.9,β,10,1.3966658
0.2,1.3,0.9,rep-number,10,2.2258906
0.2,1.5,0.1,peak-intensity,10,0.49009296
0.2,1.5,0.1,growth-rate,10,2.39545
0.2,1.5,0.1,outbreak-size,10,0.5377171
0.2,1.5,0.1,S₀,10,0.14133526
0.2,1.5,0.1,α,10,0.2898474
0.2,1.5,0.1,β,10,-0.49661312
0.2,1.5,0.1,rep-number,10,-2.0951602
0.2,1.5,0.3,peak-intensity,10,2.1376195
0.2,1.5,0.3,growth-rate,10,2.6119704
0.2,1.5,0.3,outbreak-size,10,0.47643682
0.2,1.5,0.3,S₀,10,-0.36962157
0.2,1.5,0.3,α,10,0.19252661
0.2,1.5,0.3,β,10,-0.27381945
0.2,1.5,0.3,rep-number,10,0.17169681
0.2,1.5,0.5,peak-intensity,10,3.7987669
0.2,1.5,0.5,growth-rate,10,3.6427217
0.2,1.5,0.5,outbreak-size,10,0.73115575
0.2,1.5,0.5,S₀,10,-0.023569413
0.2,1.5,0.5,α,10,0.4321345
0.2,1.5,0.5,β,10,0.55802244
0.2,1.5,0.5,rep-number,10,0.64309853
0.2,1.5,0.7,peak-intensity,10,4.170658
0.2,1.5,0.7,growth-rate,10,4.3564425
0.2,1.5,0.7,outbreak-size,10,1.568605
0.2,1.5,0.7,S₀,10,0.63702875
0.2,1.5,0.7,α,10,1.3979336
0.2,1.5,0.7,β,10,1.4686059
0.2,1.5,0.7,rep-number,10,1.4350307
0.2,1.5,0.9,peak-intensity,10,4.9786906
0.2,1.5,0.9,growth-rate,10,5.9156466
0.2,1.5,0.9,outbreak-size,10,2.3180141
0.2,1.5,0.9,S₀,10,1.5023655
0.2,1.5,0.9,α,10,2.4105942
0.2,1.5,0.9,β,10,2.42897
0.2,1.5,0.9,rep-number,10,2.5429542
