α,β,S₀,lab,t,md
0.2,1.0,0.6,growth-rate,5,2.9054506
0.2,1.0,0.6,outbreak-size,5,1.7129371
0.2,1.0,0.6,S₀,5,0.3249582
0.2,1.0,0.6,α,5,0.42402717
0.2,1.0,0.6,β,5,0.30112416
0.2,1.0,0.6,rep-number,5,0.6197559
0.2,1.0,0.6,peak-intensity,10,2.840057
0.2,1.0,0.6,growth-rate,10,3.4021406
0.2,1.0,0.6,outbreak-size,10,1.3442491
0.2,1.0,0.6,S₀,10,0.44489542
0.2,1.0,0.6,α,10,1.1050333
0.2,1.0,0.6,β,10,0.73867226
0.2,1.0,0.6,rep-number,10,0.9037053
0.2,1.1,0.6,peak-intensity,3,1.4673903
0.2,1.1,0.6,growth-rate,3,2.2907171
0.2,1.1,0.6,outbreak-size,3,1.5718513
0.2,1.1,0.6,S₀,3,0.30069393
0.2,1.1,0.6,α,3,0.433311
0.2,1.1,0.6,β,3,0.39069116
0.2,1.1,0.6,rep-number,3,0.66877663
0.2,1.1,0.6,peak-intensity,5,1.604188
0.2,1.1,0.6,growth-rate,5,3.111255
0.2,1.1,0.6,outbreak-size,5,1.5951791
0.2,1.1,0.6,S₀,5,0.31698298
0.2,1.1,0.6,α,5,0.4598285
0.2,1.1,0.6,β,5,0.39261317
0.2,1.1,0.6,rep-number,5,0.6997862
0.2,1.1,0.6,peak-intensity,10,3.1891134
0.2,1.1,0.6,growth-rate,10,3.5439794
0.2,1.1,0.6,outbreak-size,10,1.2722347
0.2,1.1,0.6,S₀,10,0.35248214
0.2,1.1,0.6,α,10,1.0977705
0.2,1.1,0.6,β,10,0.64709073
0.2,1.1,0.6,rep-number,10,0.93013996
0.2,1.2,0.6,peak-intensity,3,1.5663333
0.2,1.2,0.6,growth-rate,3,2.4716718
0.2,1.2,0.6,outbreak-size,3,1.427654
0.2,1.2,0.6,S₀,3,0.25097552
0.2,1.2,0.6,α,3,0.4457469
0.2,1.2,0.6,β,3,0.49054858
0.2,1.2,0.6,rep-number,3,0.72575235
0.2,1.2,0.6,peak-intensity,5,1.6573641
0.2,1.2,0.6,growth-rate,5,3.2263062
0.2,1.2,0.6,outbreak-size,5,1.2910988
0.2,1.2,0.6,S₀,5,0.23813128
0.2,1.2,0.6,α,5,0.42867628
0.2,1.2,0.6,β,5,0.44955173
0.2,1.2,0.6,rep-number,5,0.7171901
0.2,1.2,0.6,peak-intensity,10,3.5102572
0.2,1.2,0.6,growth-rate,10,3.6688213
0.2,1.2,0.6,outbreak-size,10,1.3800801
0.2,1.2,0.6,S₀,10,0.44590527
0.2,1.2,0.6,α,10,1.1114103
0.2,1.2,0.6,β,10,0.61167544
0.2,1.2,0.6,rep-number,10,1.099591
0.2,1.3,0.6,peak-intensity,3,1.6589975
0.2,1.3,0.6,growth-rate,3,2.670601
0.2,1.3,0.6,outbreak-size,3,1.1136932
0.2,1.3,0.6,S₀,3,0.18927519
0.2,1.3,0.6,α,3,0.4767548
0.2,1.3,0.6,β,3,0.6184673
0.2,1.3,0.6,rep-number,3,0.7940193
0.2,1.3,0.6,peak-intensity,5,1.7795081
0.2,1.3,0.6,growth-rate,5,3.3966646
0.2,1.3,0.6,outbreak-size,5,1.0129613
0.2,1.3,0.6,S₀,5,0.20194015
0.2,1.3,0.6,α,5,0.5010488
0.2,1.3,0.6,β,5,0.5901458
0.2,1.3,0.6,rep-number,5,0.8064421
0.2,1.3,0.6,peak-intensity,10,3.8697214
0.2,1.3,0.6,growth-rate,10,3.851493
0.2,1.3,0.6,outbreak-size,10,1.5683123
0.2,1.3,0.6,S₀,10,0.7694845
0.2,1.3,0.6,α,10,1.3570132
0.2,1.3,0.6,β,10,0.72470117
0.2,1.3,0.6,rep-number,10,1.3522726
0.2,1.4,0.6,peak-intensity,3,1.7513616
0.2,1.4,0.6,growth-rate,3,2.9227862
0.2,1.4,0.6,outbreak-size,3,0.6782047
0.2,1.4,0.6,S₀,3,0.11508034
0.2,1.4,0.6,α,3,0.51982737
0.2,1.4,0.6,β,3,0.7652098
0.2,1.4,0.6,rep-number,3,0.9111981
0.2,1.4,0.6,peak-intensity,5,1.8986839
0.2,1.4,0.6,growth-rate,5,3.501097
0.2,1.4,0.6,outbreak-size,5,0.6483471
0.2,1.4,0.6,S₀,5,0.14777993
0.2,1.4,0.6,α,5,0.4957516
0.2,1.4,0.6,β,5,0.6953999
0.2,1.4,0.6,rep-number,5,0.8560297
0.2,1.4,0.6,peak-intensity,10,3.9412875
0.2,1.4,0.6,growth-rate,10,3.8652728
0.2,1.4,0.6,outbreak-size,10,1.6853526
0.2,1.4,0.6,S₀,10,0.8453392
0.2,1.4,0.6,α,10,1.282212
0.2,1.4,0.6,β,10,0.73566294
0.2,1.4,0.6,rep-number,10,1.5274109
0.2,1.5,0.6,peak-intensity,3,1.8094612
0.2,1.5,0.6,growth-rate,3,3.1294882
0.2,1.5,0.6,outbreak-size,3,0.05303923
0.2,1.5,0.6,S₀,3,-0.038646664
0.2,1.5,0.6,α,3,0.5627843
0.2,1.5,0.6,β,3,0.918736
0.2,1.5,0.6,rep-number,3,1.0042031
0.2,1.5,0.6,peak-intensity,5,1.9985832
0.2,1.5,0.6,growth-rate,5,3.5333548
0.2,1.5,0.6,outbreak-size,5,0.16086031
0.2,1.5,0.6,S₀,5,-0.040459067
0.2,1.5,0.6,α,5,0.48739678
0.2,1.5,0.6,β,5,0.7863484
0.2,1.5,0.6,rep-number,5,0.84080714
0.2,1.5,0.6,peak-intensity,10,3.795691
0.2,1.5,0.6,growth-rate,10,3.7159264
0.2,1.5,0.6,outbreak-size,10,0.90842235
0.2,1.5,0.6,S₀,10,0.20365013
0.2,1.5,0.6,α,10,0.79044676
0.2,1.5,0.6,β,10,0.8309237
0.2,1.5,0.6,rep-number,10,0.8549849
