t  ,budget ,SIG                     ,NSSE
16,1,0.008405449647437762,-0.08372748569466201
19,1,0.011577803219851938,-0.08349494800575707
22,1,0.009870414478039219,-0.08345217195594112
25,1,0.004668635704272324,-0.08344623749547271
28,1,0.002201580667527501,-0.08347074219731464
31,1,0.0002524870505946519,-0.08347853915684579
34,1,0.0006512039602701161,-0.08353659696786139
37,1,8.541569442775515e-5,-0.08354614563633031
40,1,0.0005535873263651475,-0.08355924106625096
43,1,0.0006694575670868625,-0.08358232007955296
46,1,0.0009292197343371159,-0.08359717504952559
49,1,0.0016554839727131463,-0.08359816512003936
52,1,0.0011413041029130703,-0.08361890794161438
55,1,0.001422329595364745,-0.08361992684746644
58,1,0.0020830205268959445,-0.08361697553047517
1,10,-8.821124386493295e-16,-0.08362846740379966
4,10,0.26055001081104356,-0.08427112868939714
7,10,0.495521011620644,-0.08914100970448481
10,10,0.36324367129933693,-0.0936569658035003
13,10,0.09943668270185452,-0.09047044758700952
16,10,0.0903772128715788,-0.08475570176197228
19,10,0.1058637824959638,-0.08228020578126234
22,10,0.09530527813301183,-0.08194378954322536
25,10,0.06584466393479257,-0.08207271168250399
28,10,0.03825357163051206,-0.08226420373518313
31,10,0.027690377458759907,-0.08252409279543975
34,10,0.018692464638015115,-0.08278726113400847
37,10,0.013045127681191275,-0.08298614390841426
40,10,0.014206078781606232,-0.08308860091920552
43,10,0.014987862187032679,-0.08323196014109906
46,10,0.014596079801771904,-0.0833313768615299
49,10,0.015869612055752942,-0.08340632946637717
52,10,0.01786969043351058,-0.08343232658280733
55,10,0.017270946405358756,-0.0835088412129432
58,10,0.019954060479219226,-0.08351626420742105
1,100,-1.3052559033610578e-15,-0.08362846740379966
4,100,0.6335062930683972,-0.08913474260033993
7,100,1.460232288186116,-0.10339944809493268
10,100,1.8785442557881427,-0.1093809657180167
13,100,0.7521711875306666,-0.11208100346348647
16,100,0.431583161080012,-0.0976183901844669
19,100,0.581803533496952,-0.07455173732825005
22,100,0.6083709630750778,-0.07445732678391744
25,100,0.5861978027164981,-0.075380012331822
28,100,0.5304578973233401,-0.07637595518426704
31,100,0.47826833248744344,-0.07750837319564931
34,100,0.4196843134535155,-0.07838295014547718
37,100,0.36132849085672014,-0.07925570650680673
40,100,0.30606773967392575,-0.07998957331763672
43,100,0.2659651722245093,-0.08078154982473877
46,100,0.22988578363577908,-0.08117251363447865
49,100,0.2021483314996919,-0.08182707722022134
52,100,0.18015591254178812,-0.08212482504646902
55,100,0.1579375642587861,-0.08250647742369467
58,100,0.14208369419883488,-0.08271021742184924
