t  ,free            ,sd   ,SIG
14 ,"(:β, :α)"      ,40.0 ,0.3634204363338728
15 ,"(:β, :α)"      ,40.0 ,0.38821658867722714
16 ,"(:β, :α)"      ,40.0 ,0.41844938437841356
17 ,"(:β, :α)"      ,40.0 ,0.4664353649413435
18 ,"(:β, :α)"      ,40.0 ,0.5138594619947485
19 ,"(:β, :α)"      ,40.0 ,0.5520729035493523
20 ,"(:β, :α)"      ,40.0 ,0.6155511912131724
21 ,"(:β, :α)"      ,40.0 ,0.6722839973926813
22 ,"(:β, :α)"      ,40.0 ,0.7240967002157349
23 ,"(:β, :α)"      ,40.0 ,0.7783191935460329
24 ,"(:β, :α)"      ,40.0 ,0.8281862417669937
25 ,"(:β, :α)"      ,40.0 ,0.8789892276705601
26 ,"(:β, :α)"      ,40.0 ,0.9457182765815451
27 ,"(:β, :α)"      ,40.0 ,0.9970216015488484
28 ,"(:β, :α)"      ,40.0 ,1.0413868264787247
29 ,"(:β, :α)"      ,40.0 ,1.0934853939701639
30 ,"(:β, :α)"      ,40.0 ,1.1483032093846441
1  ,"(:S₀, :β, :α)" ,40.0 ,-1.0130104220740233e-16
2  ,"(:S₀, :β, :α)" ,40.0 ,0.2607769486712633
3  ,"(:S₀, :β, :α)" ,40.0 ,0.6383747689776327
4  ,"(:S₀, :β, :α)" ,40.0 ,0.9315300873896125
5  ,"(:S₀, :β, :α)" ,40.0 ,1.0858300861326315
6  ,"(:S₀, :β, :α)" ,40.0 ,1.1056373795747343
7  ,"(:S₀, :β, :α)" ,40.0 ,0.9577002700323873
8  ,"(:S₀, :β, :α)" ,40.0 ,0.7391105372221004
9  ,"(:S₀, :β, :α)" ,40.0 ,0.5930454657602113
10 ,"(:S₀, :β, :α)" ,40.0 ,0.5670934616651155
11 ,"(:S₀, :β, :α)" ,40.0 ,0.5822337002670791
12 ,"(:S₀, :β, :α)" ,40.0 ,0.5850850996904735
13 ,"(:S₀, :β, :α)" ,40.0 ,0.6059514428340392
14 ,"(:S₀, :β, :α)" ,40.0 ,0.6089680137886225
15 ,"(:S₀, :β, :α)" ,40.0 ,0.6219817536516641
16 ,"(:S₀, :β, :α)" ,40.0 ,0.6274365453173562
17 ,"(:S₀, :β, :α)" ,40.0 ,0.6442115839092176
18 ,"(:S₀, :β, :α)" ,40.0 ,0.6595906588008525
19 ,"(:S₀, :β, :α)" ,40.0 ,0.680421499430334
20 ,"(:S₀, :β, :α)" ,40.0 ,0.6955067833368439
21 ,"(:S₀, :β, :α)" ,40.0 ,0.7244802959070188
22 ,"(:S₀, :β, :α)" ,40.0 ,0.7516788001629797
23 ,"(:S₀, :β, :α)" ,40.0 ,0.778617039528627
24 ,"(:S₀, :β, :α)" ,40.0 ,0.8195771356029542
25 ,"(:S₀, :β, :α)" ,40.0 ,0.8535439233351386
26 ,"(:S₀, :β, :α)" ,40.0 ,0.8747529497270876
27 ,"(:S₀, :β, :α)" ,40.0 ,0.9314815148411846
28 ,"(:S₀, :β, :α)" ,40.0 ,0.9453914680329404
29 ,"(:S₀, :β, :α)" ,40.0 ,0.9839170659735351
30 ,"(:S₀, :β, :α)" ,40.0 ,1.0307999803615087
